page_id,photo_id,side,register,cropped,src,kept_pct
p053,p053,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p053.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101905.jpg,83.7
p054,p054,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p054.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101915.jpg,85.3
p055,p055,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p055.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101921.jpg,89.4
p056,p056,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p056.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101928.jpg,81.7
p057,p057,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p057.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101940.jpg,97.7
p058,p058,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p058.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101946.jpg,79.0
p059,p059,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p059.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102033.jpg,83.5
p060,p060,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p060.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102044.jpg,87.0
p061,p061,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p061.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102049.jpg,67.6
p062,p062,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p062.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102059.jpg,87.4
p063,p063,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p063.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102104.jpg,76.4
p064,p064,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p064.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102115.jpg,89.6
p065,p065,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p065.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102134.jpg,76.5
p066,p066,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p066.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102158.jpg,94.2
p067,p067,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p067.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102204.jpg,83.9
p068,p068,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p068.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102204_01.jpg,85.6
p069,p069,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p069.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102213.jpg,90.1
p070,p070,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p070.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102218.jpg,83.7
p071,p071,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p071.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102228.jpg,27.2
p072,p072,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p072.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102238.jpg,73.7
p073,p073,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p073.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102253.jpg,94.5
p074,p074,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p074.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102259.jpg,73.4
p075,p075,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p075.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102311.jpg,89.0
p076,p076,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p076.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102317.jpg,54.3
p077,p077,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p077.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102332.jpg,57.4
p078a,p078,a,X 18 (1570-79),processed/cropped/x-18-1570-79/p078a.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102340.jpg,54.8
p078b,p078,b,X 18 (1570-79),processed/cropped/x-18-1570-79/p078b.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102340.jpg,34.8
